English (gold output),German Google Translate (input)
She disliked the overly sweet dessert.,Sie mochte den übermäßig süßen Nachtisch nicht.
Freshly cut grass smells wonderfully earthy.,Frisch geschnittenes Gras duftet herrlich erdig.
His surprise party was a smashing success.,Seine Überraschungsparty war ein voller Erfolg.
She felt uneasy in the deserted alley.,Sie fühlte sich unwohl in der verlassenen Gasse.
The new paint color brightened the room.,Die neue Farbe hellte den Raum auf.
Sloppy handwriting made the note difficult to read.,Eine schlampige Handschrift erschwerte das Lesen der Notiz.
The antique clock chimed melodically on the hour.,Die antike Uhr schlug melodisch zur vollen Stunde.
He dreaded the weekly team meetings.,Er hatte Angst vor den wöchentlichen Teambesprechungen.
The icy sidewalk was a hazardous obstacle.,Der vereiste Gehweg stellte ein gefährliches Hindernis dar.
Her watercolor paintings are subtly beautiful.,Ihre Aquarellbilder sind von subtiler Schönheit.
The delayed package caused much frustration.,Das verspätete Paket sorgte für große Frustration.
The smell of popcorn brings back happy memories.,Der Duft von Popcorn weckt schöne Erinnerungen.
His overconfidence was somewhat off-putting.,Seine Selbstüberschätzung war etwas abstoßend.
A warm welcome made her feel appreciated.,"Der herzliche Empfang gab ihr das Gefühl, geschätzt zu werden."
The rickety bridge was frightening to cross.,"Es war beängstigend, die wackelige Brücke zu überqueren."
She finds solace in late-night baking.,Sie findet Trost im nächtlichen Backen.
The old book's musty smell was nostalgic.,Der muffige Geruch des alten Buches war nostalgisch.
Overly bright lights in restaurants are displeasing.,Zu helles Licht in Restaurants ist unangenehm.
He admired the resilience of the old tree.,Er bewunderte die Widerstandsfähigkeit des alten Baumes.
The hotel room view was disappointingly bland.,Die Aussicht auf das Hotelzimmer war enttäuschend langweilig.
The sound of waves crashing is calming.,Das Rauschen der Wellen wirkt beruhigend.
Wilted flowers made the room look sad.,Verwelkte Blumen verliehen dem Raum ein trauriges Aussehen.
She disliked the aggressive sales tactics used.,Ihr gefielen die aggressiven Verkaufstaktiken nicht.
The documentary inspired a change in her lifestyle.,Der Dokumentarfilm inspirierte sie zu einer Änderung ihres Lebensstils.
The squeaky door needed urgent oiling.,Die quietschende Tür musste dringend geölt werden.
The art exhibition left him feeling inspired.,Die Kunstausstellung inspirierte ihn.
She abhorred the taste of cilantro.,Sie verabscheute den Geschmack von Koriander.
Fresh linen scents are wonderfully soothing.,Frische Leinendüfte wirken wunderbar beruhigend.
The unexpected quiz caused considerable anxiety.,Das unerwartete Quiz löste erhebliche Ängste aus.
Sunsets by the beach are my favorite.,Sonnenuntergänge am Strand gefallen mir am besten.
He detested the movie's unrealistic ending.,Er verabscheute das unrealistische Ende des Films.
The opera performance was breathtakingly powerful.,Die Opernaufführung war atemberaubend kraftvoll.
His light snoring was oddly comforting.,Sein leichtes Schnarchen war seltsam beruhigend.
The cramped office space was stifling.,Die beengten Büroräume waren erdrückend.
She loves the energy of bustling cafes.,Sie liebt die Energie geschäftiger Cafés.
The noisy eaters at the next table were distracting.,Die lauten Esser am Nebentisch störten.
A well-organized pantry brings satisfaction.,Eine gut organisierte Speisekammer bringt Zufriedenheit.
Foggy mornings have a mysterious allure.,Neblige Morgen haben eine geheimnisvolle Anziehungskraft.
The constant barking was a major disturbance.,Das ständige Bellen war eine große Störung.
The warm apple pie tasted like autumn.,Der warme Apfelkuchen schmeckte nach Herbst.
Rain during the picnic was disheartening.,Der Regen während des Picknicks war entmutigend.
The long-awaited sequel was disappointingly mediocre.,Die lang erwartete Fortsetzung war enttäuschend mittelmäßig.
The cozy sweater was perfect for chilly days.,Der kuschelige Pullover war perfekt für kühle Tage.
A sudden loud noise startled everyone.,Ein plötzliches lautes Geräusch erschreckte alle.
The lack of parking was inconvenient.,Der Mangel an Parkplätzen war störend.
Her homemade cookies are always a hit.,Ihre selbstgemachten Kekse sind immer ein Hit.
He despised the daily grind of commuting.,Er verabscheute den Alltagstrott des Pendelns.
The old film projector added a nostalgic touch.,Der alte Filmprojektor sorgte für einen nostalgischen Touch.
The steep climb was exhilarating and challenging.,Der steile Aufstieg war aufregend und herausfordernd.
Unexpected visitors can be either delightful or disruptive.,Unerwartete Besucher können entweder erfreulich oder störend sein.
The puzzle missing one piece was infuriating.,"Dass beim Puzzle ein Teil fehlte, war ärgerlich."
The unexpected snowfall created a winter wonderland.,Der unerwartete Schneefall schuf ein Winterwunderland.
Loud typing in quiet rooms is aggravating.,Lautes Tippen in ruhigen Räumen ist ärgerlich.
The vibrant mural brightened the dreary street.,Das farbenfrohe Wandgemälde erhellte die triste Straße.
The pungent smell of garlic filled the kitchen.,Der stechende Geruch von Knoblauch erfüllte die Küche.
He appreciated the simplicity of the design.,Er schätzte die Einfachheit des Designs.
The constant interruptions were extremely aggravating.,Die ständigen Unterbrechungen waren äußerst ärgerlich.
The cool shade under the tree was refreshing.,Der kühle Schatten unter dem Baum war erfrischend.
Long layovers at airports are the worst.,Lange Aufenthalte auf Flughäfen sind das Schlimmste.
Muddy paw prints decorated the kitchen floor.,Schlammige Pfotenabdrücke schmückten den Küchenboden.
The rollercoaster's steep drop was heart-stopping.,Der steile Abstieg der Achterbahn war atemberaubend.
His new haircut was strikingly stylish.,Sein neuer Haarschnitt war auffallend stilvoll.
Soggy cereal made breakfast disappointing.,Das aufgeweichte Müsli machte das Frühstück enttäuschend.
The melody of her laugh was infectious.,Die Melodie ihres Lachens war ansteckend.
Rush hour traffic tested his patience.,Der Verkehr zur Hauptverkehrszeit stellte seine Geduld auf die Probe.
She adored the quaint seaside cottages.,Sie liebte die malerischen Cottages am Meer.
Burned popcorn ruined movie night.,Verbranntes Popcorn hat den Filmabend ruiniert.
Crisp mountain air revitalized her spirits.,Die klare Bergluft belebte ihre Stimmung.
He despised the dentist's waiting room.,Er verabscheute das Wartezimmer des Zahnarztes.
The foggy morning added a mystical touch.,Der neblige Morgen fügte eine mystische Note hinzu.
Her floral perfume was overwhelmingly strong.,Ihr blumiger Duft war überwältigend stark.
The lost earring was a cherished heirloom.,Der verlorene Ohrring war ein geschätztes Erbstück.
Old movies always brought him joy.,Alte Filme bereiteten ihm immer Freude.
The creaky floorboards were eerily noisy.,Die knarrenden Dielen machten unheimlich viel Lärm.
She loved the challenge of crossword puzzles.,Sie liebte die Herausforderung von Kreuzworträtseln.
Overcooked pasta is disappointingly mushy.,Zu lange gekochte Nudeln sind enttäuschend matschig.
The sunny weather lifted everyone's mood.,Das sonnige Wetter hob die Stimmung aller.
He loathed the new office layout.,Er verabscheute die neue Büroaufteilung.
Her sketch captured the landscape perfectly.,Ihre Skizze hat die Landschaft perfekt eingefangen.
Spilled wine stained the white carpet.,Verschütteter Wein befleckte den weißen Teppich.
The crowded gym was stifling.,Das überfüllte Fitnessstudio war erdrückend.
Fresh peaches tasted like summer.,Frische Pfirsiche schmeckten nach Sommer.
His jokes missed the mark at the meeting.,Seine Witze gingen bei dem Treffen daneben.
The book's ending was unexpectedly poignant.,Das Ende des Buches war unerwartet ergreifend.
Wrinkled shirts made dressing a chore.,Zerknitterte Hemden machten das Anziehen zu einer lästigen Pflicht.
She relished the peace of the early morning.,Sie genoss die Ruhe des frühen Morgens.
The scratched record was a sad discovery.,Die zerkratzte Schallplatte war eine traurige Entdeckung.
A peaceful nap on the hammock was idyllic.,Ein friedliches Nickerchen in der Hängematte war idyllisch.
He disliked the artificial taste of diet soda.,Er mochte den künstlichen Geschmack von Diätlimonade nicht.
The vibrant festival colors were mesmerizing.,Die leuchtenden Festivalfarben waren faszinierend.
Stale air in the attic was suffocating.,Die abgestandene Luft auf dem Dachboden war erstickend.
She cherished her grandmother’s vintage necklace.,Sie schätzte die Vintage-Halskette ihrer Großmutter.
The thunderstorm was thrilling yet scary.,Das Gewitter war aufregend und doch beängstigend.
Clumsy packaging made unboxing difficult.,Die ungeschickte Verpackung erschwerte das Auspacken.
The new recipe turned out deliciously.,Das neue Rezept ist köstlich geworden.
His loud snoring was frustrating at night.,Sein lautes Schnarchen war nachts frustrierend.
The art exhibit was visually stunning.,Die Kunstausstellung war optisch atemberaubend.
She hated the disruption caused by renovations.,"Sie hasste die Störungen, die Renovierungen verursachten."
A fresh coat of paint revitalized the room.,Ein frischer Anstrich belebte den Raum.
The delayed train disrupted his schedule.,Der verspätete Zug brachte seinen Zeitplan durcheinander.
She enjoyed the tranquility of the library.,Sie genoss die Ruhe der Bibliothek.
The leaky faucet was a constant annoyance.,Der undichte Wasserhahn war ein ständiges Ärgernis.
Bright fireworks lit up the night.,Helle Feuerwerke erhellten die Nacht.
His sarcastic remarks were often misunderstood.,Seine sarkastischen Bemerkungen wurden oft missverstanden.
The surprise party was an absolute delight.,Die Überraschungsparty war ein absoluter Genuss.
Fog obscured the scenic mountain view.,Nebel verdeckte die malerische Aussicht auf die Berge.
The cluttered workshop was a creative haven.,Die vollgestopfte Werkstatt war ein kreativer Zufluchtsort.
The harsh cleaning chemicals smelled awful.,Die aggressiven Reinigungschemikalien rochen fürchterlich.
She loved the rustic charm of the farmhouse.,Sie liebte den rustikalen Charme des Bauernhauses.
An untied shoelace caused a minor tumble.,Ein gelöster Schnürsenkel verursachte einen leichten Sturz.
The jazz band's rhythm was irresistibly catchy.,Der Rhythmus der Jazzband war unwiderstehlich eingängig.
Burnt cookies were a baking mishap.,Verbrannte Kekse waren ein Backunfall.
He admired the efficiency of the new system.,Er bewunderte die Effizienz des neuen Systems.
The broken heater made winter unbearable.,Die kaputte Heizung machte den Winter unerträglich.
She was captivated by the historical novel.,Der historische Roman hatte sie gefesselt.
The squeaky chair was distractingly noisy.,Der quietschende Stuhl war störend laut.
He disliked the overly bright office lighting.,Ihm gefiel die zu helle Bürobeleuchtung nicht.
The gentle lullaby soothed the baby.,Das sanfte Schlaflied beruhigte das Baby.
Rushed mornings were chaotic and stressful.,Hektische Morgen waren chaotisch und stressig.
The vibrant tulips brightened the garden.,Die leuchtenden Tulpen erhellten den Garten.
She detested the chaos of the mall.,Sie verabscheute das Chaos im Einkaufszentrum.
A perfect cup of tea brightened her afternoon.,Eine perfekte Tasse Tee verschönerte ihren Nachmittag.
The smoky room was uncomfortable and irritating.,Der verrauchte Raum war ungemütlich und irritierend.
He loved the energy of live concerts.,Er liebte die Energie von Live-Konzerten.
The sticky summer heat was oppressive.,Die drückende Sommerhitze war drückend.
Her meticulous notes were impressively organized.,Ihre akribischen Notizen waren beeindruckend organisiert.
The loud party next door was disruptive.,Die laute Party nebenan war störend.
She savored the quiet moments alone.,Sie genoss die ruhigen Momente alleine.
The broken elevator was a daily hassle.,Der kaputte Aufzug war ein täglicher Ärger.
Freshly baked cookies filled the house with warmth.,Frisch gebackene Kekse erfüllten das Haus mit Wärme.
He was annoyed by the frequent interruptions.,Ihn störten die häufigen Unterbrechungen.
The new park was beautifully landscaped.,Der neue Park war wunderschön angelegt.
She hated the taste of brussels sprouts.,Sie hasste den Geschmack von Rosenkohl.
A warm fireplace made the room cozy.,Ein warmer Kamin machte den Raum gemütlich.
The overstuffed closet was hard to close.,Der überfüllte Schrank ließ sich nur schwer schließen.
His insightful comments added to the discussion.,Seine aufschlussreichen Kommentare trugen zur Diskussion bei.
She found the lost kitten under the porch.,Sie fand das verlorene Kätzchen unter der Veranda.
The cold soup was a disappointing starter.,Die kalte Suppe war eine enttäuschende Vorspeise.
